1,would like,…したい
2,look for,…を探す
3,wait for,…を待つ
4,take place,（物事が）起こる
5,according to,…によると
6,at least,少なくとも
7,get to,…に到着する
8,go out,出かける
9,so that can,…が出来るようにする
10,up to,…まで
11,work on,（仕事）に取り掛かる
12,in order to,…のするために
13,due to,…によると
14,in front of,…の前
15,pick up,…迎えに行く、取り出す
16,even if,たとえ…でも
17,because of,…のために
18,pay for,…の代金を払う
19,next to,…の隣
20,at all,全く…ない
21,How about,…はどうですか
22,think of,…を考える
23,make it,なんとか間に合う
24,the same as,…と同じ
25,used to,かつて…だった
26,such as,…のように
27,at home,家で
28,fill in,（項目を）埋める
29,too to,とても…なので
30,happen to,偶然…が起こる（する）
31,come in,…になる
32,per hour,時間毎
33,each other,お互い
34,work for,…に勤めている
35,on time,…に間に合って
36,so that,とても…なので
37,take off,脱ぐ、飛び立つ
38,depend on,…に頼る
39,ask for,…を頼む
40,find out,見つけ出す
41,on the way,…の道途上
42,make sure,確かにする
43,let know,…に知らせる
44,happy to,喜んでする
45,speak to,…に話しかける
46,talk to,…に話しかける
47,get out,出て行く
48,as well as,…と同様に
49,Why don`t you,…したらどうですか
50,move to,引っ越す
51,as soon as possible,出来る限り早く
52,as… as possible,可能な限り
53,as soon as,…するとすぐに
54,meet with,…に会う
55,set up,…を設置する、設立する
56,ready for,…の準備が整う
57,on sale,セール中
58,at the end of,…の最後に
59,come from,…出身
60,look out,注意する
61,in addition,加えて
62,look forward to,…を楽しみにする
63,right away,ただちに
64,get off,降りる
65,apply for,申し込む
66,get in,乗り込む
67,a couple of,２つの
68,look like,…に似ている
69,take care of,…の面倒を見る
70,break down,故障する
71,no longer,もう～でない
72,get back to,あとで電話をする
73,get back,取り戻す
74,turn off,消す
75,as long as,…である限り
76,be scheduled,予定されている
77,worry about,…を心配する
78,sure to,きっと～する
79,on the top of,…の上に
80,in advance,前もって
81,come out,告白する、現れる
82,interested in,興味がある
83,all by oneself,たった一人で
84,call back,電話をかけなおす
85,take out,持ち帰り、取り出す
86,get married,結婚をする
87,go for,...に挑戦する、…に行く
88,go through,通る
89,prior to,…より前に
90,sign up,契約する、サインする
91,apply to,…が適用される
92,for a long time,長い間
93,go on,（次に）行く
94,see if,…かどうか調べる
95,these days,最近
96,at this time,今のところは
97,put on,身に着ける
98,instead of,…の代わりに
99,leave for,…を去る、探す
100,every time,毎回
101,in the middle of,…の途中で
102,in the future,この先、未来に
103,come back,戻ってくる
104,so far,今のところ
105,for example,例えば
106,close to,…に近づく
107,required for,…を要求される
108,in time,…に間に合って
109,supposed to,…する予定
110,come up,思いつく
111,prepare for,…に備える
112,Would you mind,…は気にされますか
113,go into,…に入る
114,deal with,…と取引する
115,filled with,…を埋める
116,get on,…に乗る
117,for sale,セール中
118,agree to,…に同意する
119,stand in line,一列に並んだ
120,lead to,…を導く
121,focus on,…に注目する
122,in case,もしもの場合に備えて
123,get into,…に入る
124,on business,仕事上
125,point out,を指示する
126,as of,…の時点で
127,run out,尽きる
128,check out,チェックする
129,all over,…の至るところに
130,go up,（階）を上に行く
131,as well,…と同じ
132,drop off,落ちる、落第する
133,have(take) a look,一目見る
134,plan on ～ing,…を予定する
135,help one with A,Aを助ける、手伝う
136,hear from,便りを聞く
137,thanks for,…のおかげで
138,turn out,…になる、（電気）を消す
139,suffer from,…に苦しむ、悩む
140,graduagte from,…から卒業する
141,look up,見上げる
142,get lost,迷う
143,agree with,…に同意する
144,on vacation,休暇中
145,for a while,少しの間
146,result in,…の結果もたらす
147,result from,…の結果
148,likely to,…が起こりそう
149,all the time,全ての期間
150,full of,…で満たされている
151,get used to,…に慣れる
152,every other,１つおき
153,complain about,…の愚痴をこぼす
154,responsible for,…の責任を持つ
155,figure out,…を探し出す
156,participate in,…に参加する
157,be pleased to,…を喜ぶ
158,be wrong with,…の調子が悪い
159,turn down,断る
160,no problem,問題がない
161,priovide A with B,AにBを供給する
162,at all times,いつも、常に
163,too bad,とても悪い
164,look into,…を調査する
165,put in,を提出する
166,lay off,…をクビにする
167,sold out,売り切れ
168,hand in,提出する
169,willing to,…するつもり
170,have no idea,何も思いつかない
171,put up,上げる
172,check in,チェックインする
173,carry out,成功する
174,at the same time,同時に
175,along with,…といっしょに
176,lean on,…に寄りかかる
177,fail to,…を失敗する
178,in person,面と向かって、直接
179,leave a message,伝言を残す
180,be located in,…に位置する
181,end up,最後は…になる
182,far from,…から離れて
183,sit down,座る
184,take over,乗っ取る、反覆する
185,get along,うまくいく
186,care for,～を世話する
187,at any time,いつでも
188,except for,～を除き
189,give up,あきらめる
190,show up,現れる
191,refer to,参照する
192,in a row,一列に並んだ
193,after all,結局
194,I wish I could,～できたらよいと望む
195,thanks to,～のおかげで
196,make an appointment,面会の約束をする
197,no matter how,たとえどんなんでも
198,be concerned about,を心配している
199,now that,今や～だから
200,in charge of,～を管理している
