##FILE_TYPE,問題DATA,,,,,,,,,,,,,,,,,,,
##YEAR,2007,,,,,,,,,,,,,,,,,,,
##UDATE,2007/4/24,,,,,,,,,,,,,,,,,,,
##VERSION,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
##DATA_START,,,,,,,,,,,,,,,,,,,,
ID,(1)教科書[ID],(1)設問[ID],(1)章[ID],(1)章[番号],,,(1)PAGE,(1)文例,SORT-KEY,[単語](英),[単語](品詞),[単語](英)アクセント,[単語](日),[単語](語形),[単語](語形)答,[熟語](英),[熟語](日),[長文](英),[長文](日),[OPTION]1
1,73,"1,2,3,4,6,11,12,13,14,15,16,17",1,1,第1章　中学必修語200,§1　動詞60,12,1,live,live,,,住む；生きる,名詞形,life,,,<S><SB>I have <B>lived</B> in this town</S> for many years.,私はこの町に長年<B>住んで</B>いる。,
2,73,6,1,1,第1章　中学必修語200,§1　動詞60,12,1,live,live,,,住む；生きる,形容詞形「生きている」,alive,,,<S><SB>I have <B>lived</B> in this town</S> for many years.,私はこの町に長年<B>住んで</B>いる。,
3,,6,1,1,第1章　中学必修語200,§1　動詞60,12,1,live,live,,,住む；生きる,形容詞形「生の」,live,,,<S><SB>I have <B>lived</B> in this town</S> for many years.,私はこの町に長年<B>住んで</B>いる。,
4,73,"1,2,3,4,6,11,12,13,14,15,16,17",1,1,第1章　中学必修語200,§1　動詞60,12,2,call,call,,,～を呼ぶ，～に電話する,名詞形,call,,,<S>May <SB>I <B>call</B> you <SB>Tom</S>?,あなたをトムと<B>呼んで</B>もいいですか。,
5,73,"1,2,3,4,5,11,12,13,14,15,16,17",1,1,第1章　中学必修語200,§1　動詞60,12,3,become,be<A>come,,2,～になる,,,,,<S>She <B>became</B> the first woman</S> on the moon.,彼女は月面に降り立った最初の女性と<B>なった</B>。,
6,73,"1,2,3,4,8,10,11,12,13,14,15,16,17",1,1,第1章　中学必修語200,§1　動詞60,12,4,walk,walk,,,歩く,,,take a walk,散歩する,<S>We <B>walked</B> to school every</S> morning.,私たちは毎朝<B>歩いて</B>通学した。,
7,73,"1,2,3,4,8,10,11,12,13,14,15,16,17",1,1,第1章　中学必修語200,§1　動詞60,12,5,show,show,,,～を示す，見せる,,,show O1+O2,Ｏ1にＯ2を見せる,"<S>Could you <B>show</B> me that blouse</S>, please?",そのブラウスを私に<B>見せて</B>いただけませんか。,
8,73,"1,2,3,4,6,11,12,13,14,15,16,17",1,1,第1章　中学必修語200,§1　動詞60,12,6,work,work,,,働く；勉強する,関連語「過労」,overwork,,,<S><SB>I <B>work</B> at a small shoe store</S>.,私は小さな靴屋で<B>働いている</B>。,
9,73,"1,2,3,4,6,11,12,13,14,15,16,17",1,1,第1章　中学必修語200,§1　動詞60,12,7,feel,feel,,,～を感じる；～を触る，手触りが～である,名詞形,feeling,ask (+O)+wh節,（Ｏに）…を尋ねる,<S><SB>I <B>feel</B> that we should call her</S> now.,私たちは彼女に今電話すべきだと<B>思う</B>。,
10,73,"1,2,3,4,11,12,13,14,15,16,17",1,1,第1章　中学必修語200,§1　動詞60,12,8,ask,ask,,,～に尋ねる，聞く；～に…を要求する,,,,,<S><SB>Bill <B>asked</B> his mother when</S> she would be back.,ビルは母にいつ戻ってくるのかと<B>尋ねた</B>。,
11,73,"1,2,3,4,6,11,12,13,14,15,16,17",1,1,第1章　中学必修語200,§1　動詞60,12,9,think,think,,,～を思う，考える,名詞形,thought / thinking,,,<S>She <B>thinks</B> he is the best player</S> in the world.,彼女は彼が世界で一番の選手だと<B>思っている</B>。,
12,73,"1,2,3,4,6,8,10,11,12,13,14,15,16,17",1,1,第1章　中学必修語200,§1　動詞60,14,10,try,try,,,～を試みる，～をしようとする,名詞形,trial,trial and error,試行錯誤,"<S><SB>I <B>tried</B> to call my sister</S>, but her phone was busy.",私は妹に電話を<B>しようとした</B>が，話し中だった。,
13,73,"6,8,10",1,1,第1章　中学必修語200,§1　動詞60,14,10,try,try,,,～を試みる，～をしようとする,形容詞形,trying,try to do,doしようとする,,,
